capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;10;Simple-1-1P;20;20;-0,3584948260201898;0,337965009104531;0,6182551109690743;5,0
25;10;Simple-1-1P;20;10;0,2408160006889342;0,3920375738781777;0,6453607411811847;1,0
25;10;Simple-1-1P;20;1;0,0009342296050258;0,19659066727258342;0,369059686050512;2,0
25;10;Simple-1-1P;40;40;0,5940885257860046;0,6360076419221101;0,7071067811865475;3,0
25;10;Simple-1-1P;40;20;0,4103646773287979;0,49905482333987355;0,565266863719195;1,0
25;10;Simple-1-1P;40;1;0,140693975687642;0,2525678057222878;0,3537071368121801;6,0
25;10;Simple-1-1P;60;60;0,1770283348479314;0,27351991356248845;0,3685138655950444;1,0
25;10;Simple-1-1P;60;30;0,2182178902359924;0,3190393062245926;0,4178554470186724;9,0
25;10;Simple-1-1P;60;1;0,108297140450913;0,16157376799741283;0,2199699795833369;7,0
25;10;Simple-1-1P;20;20;-0,3584948260201898;0,337965009104531;0,6182551109690743;5,0
25;10;Simple-1-1P;20;10;0,2408160006889342;0,3920375738781777;0,6453607411811847;1,0
25;10;Simple-1-1P;20;1;0,0009342296050258;0,19659066727258342;0,369059686050512;2,0
25;10;Simple-1-1P;40;40;0,5940885257860046;0,6360076419221101;0,7071067811865475;3,0
25;10;Simple-1-1P;40;20;0,4103646773287979;0,49905482333987355;0,565266863719195;1,0
25;10;Simple-1-1P;40;1;0,140693975687642;0,2525678057222878;0,3537071368121801;6,0
25;10;Simple-1-1P;60;60;0,1770283348479314;0,27351991356248845;0,3685138655950444;1,0
25;10;Simple-1-1P;60;30;0,2182178902359924;0,3190393062245926;0,4178554470186724;9,0
25;10;Simple-1-1P;60;1;0,108297140450913;0,16157376799741283;0,2199699795833369;7,0
25;10;Simple-1-1P-Nois025;20;20;0,2072012940734434;0,39219003738116304;0,6546536707079771;8,0
25;10;Simple-1-1P-Nois025;20;10;0,1600682157407057;0,2561481191314653;0,3974659104374912;2,0
25;10;Simple-1-1P-Nois025;20;1;0,0275342417896415;0,21948368087269593;0,4283710571831358;6,0
25;10;Simple-1-1P-Nois025;40;40;0,5547001962252291;0,6052417341935137;0,67005939426049;0,0
25;10;Simple-1-1P-Nois025;40;20;0,3851644432598216;0,46960755870725324;0,5854853791521152;5,0
25;10;Simple-1-1P-Nois025;40;1;0,1318301959298238;0,2653863460316613;0,3933496947290684;1,0
25;10;Simple-1-1P-Nois025;60;60;0,1770283348479314;0,2831105634042664;0,464420364012824;7,0
25;10;Simple-1-1P-Nois025;60;30;0,1770283348479314;0,26989112662185705;0,3685138655950444;3,0
25;10;Simple-1-1P-Nois025;60;1;0,1146992013375799;0,19612829133053053;0,3276618706862722;2,0
25;10;Simple-1-1P-Nois05;20;20;0,140675989690666;0,2731410698712612;0,4527349601029048;8,0
25;10;Simple-1-1P-Nois05;20;10;0,0452294011446221;0,23582453998925512;0,3414887696158061;2,0
25;10;Simple-1-1P-Nois05;20;1;0,0059606501192749;0,18994596576673933;0,369059686050512;8,0
25;10;Simple-1-1P-Nois05;40;40;0,3779644730092272;0,474075404899588;0,5375872022286244;3,0
25;10;Simple-1-1P-Nois05;40;20;0,2676154650525236;0,38391889749258834;0,4803844614152613;4,0
25;10;Simple-1-1P-Nois05;40;1;0,1229664161720057;0,24638578842446773;0,3933496947290684;8,0
25;10;Simple-1-1P-Nois05;60;60;0,1770283348479314;0,28382544887758787;0,4178554470186724;2,0
25;10;Simple-1-1P-Nois05;60;30;0,124383147451339;0,25394107546167194;0,3423439661685216;1,0
25;10;Simple-1-1P-Nois05;60;1;0,0746234983419572;0,19068961698862202;0,2759734770532627;1,0
25;10;Simple-1-1P-Nois10;20;20;-0,0599606102513596;0,11705436228677044;0,4527349601029048;3,0
25;10;Simple-1-1P-Nois10;20;10;0,0079241690960745;0,16037575990162764;0,3414887696158061;5,0
25;10;Simple-1-1P-Nois10;20;1;-0,026399737386275;0,06565476460802122;0,1461889959766581;0,0
