unidades capa1;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;0,2;Simple-1-1P;5;5;0,7394464929119811;0,8969858753772056;0,9787209698591858;7,0
15;0,2;Simple-1-1P;5;2;0,9665456669582608;0,9783452823086707;0,9833857084936692;0,0
15;0,2;Simple-1-1P;5;1;0,9701046464114272;0,9769988542902747;0,9787204979338638;0,0
15;0,2;Simple-1-1P;10;10;0,7930860654723274;0,8736145531572783;0,9511599138187792;8,0
15;0,2;Simple-1-1P;10;5;0,879633819329724;0,9324299892969735;0,9649012813540154;7,0
15;0,2;Simple-1-1P;10;1;0,9696234633498936;0,975508519547914;0,9766846863905292;0,0
15;0,2;Simple-1-1P;20;20;0,5802884574739972;0,7754549620505733;1,0;8,0
15;0,2;Simple-1-1P;20;10;0,4910458949949913;0,7964449166861319;0,913801209119392;3,0
15;0,2;Simple-1-1P;20;1;0,9442661841760436;0,9680573479872063;0,9722498719074082;0,0
15;0,2;Simple-1-1P;40;40;0,7071067811865475;0,8749658560045418;1,0;3,0
15;0,2;Simple-1-1P;40;20;0,8135579788518505;0,9081338093388652;0,9622147760530732;8,0
15;0,2;Simple-1-1P;40;1;0,8699220330676912;0,957201030775709;0,9702837621223768;2,0
15;0,2;Simple-1-1P;60;60;0,5527707983925666;0,6819481234892388;0,8112457445926347;2,0
15;0,2;Simple-1-1P;60;30;0,464420364012824;0,5961667790504342;0,7453559924999299;8,0
15;0,2;Simple-1-1P;60;1;0,7729385054344101;0,8665970388299149;0,9217563622613746;5,0
15;0,2;Simple-1-1P-Nois025;5;5;0,6837268199766983;0,8567614770870955;0,9131672941954166;4,0
15;0,2;Simple-1-1P-Nois025;5;2;0,8784868413555109;0,9346469032138284;0,9580371768634086;4,0
15;0,2;Simple-1-1P-Nois025;5;1;0,9260971479466056;0,9583243922454352;0,9701046464114272;1,0
15;0,2;Simple-1-1P-Nois025;10;10;0,6404747766372276;0,804489345840467;0,9006304216512446;9,0
15;0,2;Simple-1-1P-Nois025;10;5;0,8017837257372732;0,8715262582286396;0,9168133381658036;8,0
15;0,2;Simple-1-1P-Nois025;10;1;0,8971591090221354;0,9331976218583282;0,9601584320097318;8,0
15;0,2;Simple-1-1P-Nois025;20;20;0,4981167541368988;0,700170269195945;0,7890763647670371;3,0
15;0,2;Simple-1-1P-Nois025;20;10;0,6772562334293113;0,7718671762146275;0,8546153371267735;8,0
15;0,2;Simple-1-1P-Nois025;20;1;0,6792721255205928;0,873484404475315;0,9145888893228676;2,0
15;0,2;Simple-1-1P-Nois025;40;40;0,5940885257860046;0,6710327527987034;0,74376843799781;0,0
15;0,2;Simple-1-1P-Nois025;40;20;0,6637465183030647;0,7345432562927646;0,8135579788518505;9,0
15;0,2;Simple-1-1P-Nois025;40;1;0,8507269223890713;0,8668661030979509;0,8820220444562514;3,0
15;0,2;Simple-1-1P-Nois025;60;60;0,4308202184276645;0,5168264493226891;0,6276459144608478;4,0
15;0,2;Simple-1-1P-Nois025;60;30;0,4271410714851651;0,5278238711097779;0,723746864455746;0,0
15;0,2;Simple-1-1P-Nois025;60;1;0,7202891186756744;0,7751906628348241;0,7966975592364532;7,0
15;0,2;Simple-1-1P-Nois05;5;5;0,7117851611488482;0,7997262810640804;0,8666723493945072;6,0
15;0,2;Simple-1-1P-Nois05;5;2;0,8506158169212061;0,8792988128656898;0,9056396006757428;8,0
15;0,2;Simple-1-1P-Nois05;5;1;0,8895507660967107;0,9038152505061031;0,91251112185839;1,0
15;0,2;Simple-1-1P-Nois05;10;10;0,5703834949701234;0,7414588955517296;0,8209220690651828;3,0
15;0,2;Simple-1-1P-Nois05;10;5;0,7179265298083385;0,8022161923678868;0,8542421961772492;6,0
15;0,2;Simple-1-1P-Nois05;10;1;0,8383476628376263;0,879379740421974;0,9043980045465936;4,0
15;0,2;Simple-1-1P-Nois05;20;20;0,4527349601029048;0,5768791770028943;0,6897489428726739;7,0
15;0,2;Simple-1-1P-Nois05;20;10;0,6275951069167314;0,7038815383534448;0,7778752803201914;1,0
15;0,2;Simple-1-1P-Nois05;20;1;0,8018187177724564;0,8185556452529585;0,8278645030308207;9,0
15;0,2;Simple-1-1P-Nois05;40;40;0,2970442628930023;0,47206132985629123;0,6324555320336758;2,0
15;0,2;Simple-1-1P-Nois05;40;20;0,4371087735941351;0,5300114032328708;0,6283748949496334;8,0
15;0,2;Simple-1-1P-Nois05;40;1;0,733455621389487;0,7541316378005247;0,7655986052261418;8,0
15;0,2;Simple-1-1P-Nois05;60;60;0,4308202184276645;0,4729551756591722;0,5683402774509769;7,0
15;0,2;Simple-1-1P-Nois05;60;30;0,3636363636363636;0,4473993642186943;0,5355133570619504;0,0
15;0,2;Simple-1-1P-Nois05;60;1;0,6559498571683161;0,6929528146754269;0,7142433668179647;9,0
15;0,2;Simple-1-1P-Nois10;5;5;0,5906906778062834;0,7338309292846013;0,8179998485005534;5,0
15;0,2;Simple-1-1P-Nois10;5;2;0,7741445118338937;0,8317410915970067;0,8599903100229288;0,0
15;0,2;Simple-1-1P-Nois10;5;1;0,7820795711963214;0,8337673252159797;0,8708209551392772;7,0
15;0,2;Simple-1-1P-Nois10;10;10;0,5323987270393199;0,6290332928066011;0,6732006867270969;2,0
15;0,2;Simple-1-1P-Nois10;10;5;0,4375949744936837;0,6614426651527177;0,7607325212963302;5,0
15;0,2;Simple-1-1P-Nois10;10;1;0,7711594807512436;0,7920546107412954;0,819966605054764;1,0
15;0,2;Simple-1-1P-Nois10;20;20;0,4044434703606647;0,4957724066635545;0,5802884574739972;0,0
15;0,2;Simple-1-1P-Nois10;20;10;0,3974659104374912;0,5117390630318531;0,6799578294884574;6,0
15;0,2;Simple-1-1P-Nois10;20;1;0,6762768227400063;0,7305381417952742;0,7591423712499041;2,0
15;0,2;Simple-1-1P-Nois10;40;40;0,2984810028978546;0,4326278937248097;0,5940885257860046;6,0
15;0,2;Simple-1-1P-Nois10;40;20;0,4129008295164795;0,4828974215291564;0,5275903589392003;1,0
15;0,2;Simple-1-1P-Nois10;40;1;0,5840013775669499;0,645740838300261;0,6784179748151922;1,0
15;0,2;Simple-1-1P-Nois10;60;60;0,253628636750894;0,3229191777198956;0,3685138655950444;2,0
15;0,2;Simple-1-1P-Nois10;60;30;0,3795320971862759;0,44426744812192875;0,6170025669131479;9,0
15;0,2;Simple-1-1P-Nois10;60;1;0,546994068506195;0,5699763888250218;0,6056337341502457;5,0
15;0,2;Simple-1-1P-Nois20;5;5;0,4799789024899355;0,5958006032626061;0,7160092628005474;1,0
15;0,2;Simple-1-1P-Nois20;5;2;0,4845947475356204;0,7086129849144498;0,7924089809545938;4,0
15;0,2;Simple-1-1P-Nois20;5;1;0,6283220385241198;0,703297707392699;0,7661546529390607;5,0
15;0,2;Simple-1-1P-Nois20;10;10;0,4480402387109475;0,5110072609145868;0,6404747766372276;8,0
15;0,2;Simple-1-1P-Nois20;10;5;0,3375263702778072;0,49080509951428253;0,6090424902095863;9,0
15;0,2;Simple-1-1P-Nois20;10;1;0,4195272257745434;0,6531599928083909;0,7346449335279862;8,0
15;0,2;Simple-1-1P-Nois20;20;20;0,2072012940734434;0,2821911248809565;0,4044434703606647;3,0
15;0,2;Simple-1-1P-Nois20;20;10;0,2831905481551089;0,3467161427704595;0,4162173066754248;1,0
15;0,2;Simple-1-1P-Nois20;20;1;0,3865707472797739;0,5238927115612728;0,6034986913355516;5,0
15;0,2;Simple-1-1P-Nois20;40;40;0,1622214211307625;0,22027168510920975;0,325;1,0
15;0,2;Simple-1-1P-Nois20;40;20;0,132110314132523;0,24595135614746932;0,3306232612667902;6,0
15;0,2;Simple-1-1P-Nois20;40;1;0,2844373770016783;0,3935135070653909;0,4843623166799089;1,0
15;0,2;Simple-1-1P-Nois20;60;60;0,1677289251362618;0,2731101191040028;0,3685138655950444;5,0
15;0,2;Simple-1-1P-Nois20;60;30;0,2182178902359924;0,2798422133079331;0,3611575592573076;6,0
15;0,2;Simple-1-1P-Nois20;60;1;0,2839505543991801;0,3517082705149101;0,3967740811483306;1,0
15;0,2;Simple-2P;5;5;0,8576754118946647;0,946977679621468;0,986356795990827;8,0
15;0,2;Simple-2P;5;2;0,9650485383226488;0,9814459271791878;0,9884357090100552;9,0
15;0,2;Simple-2P;5;1;0,9834694346207796;0,9873358064044911;1,0;9,0
15;0,2;Simple-2P;10;10;0,8367227517301402;0,9241662298844207;0,9840449241720914;7,0
15;0,2;Simple-2P;10;5;0,8701980967911438;0,945333114828065;0,9840449241720914;8,0
15;0,2;Simple-2P;10;1;0,9759437978644098;0,9818895151409122;0,9887911099677008;9,0
15;0,2;Simple-2P;20;20;0,65243825430126;0,7070716253417725;0,7533708035008839;7,0
15;0,2;Simple-2P;20;10;0,7310442137128779;0,8638545470541491;0,9466902867158958;8,0
15;0,2;Simple-2P;20;1;0,950514209106264;0,9684955916108677;0,983753014523534;9,0
15;0,2;Simple-2P;40;40;0,3326859263938029;0,45752399758044443;0,6112501821507025;2,0
15;0,2;Simple-2P;40;20;0,4037385450044705;0,5172943242466145;0,6806444271116836;2,0
15;0,2;Simple-2P;40;1;0,922405276662594;0,9381869402298524;0,9666170016721684;6,0
15;0,2;Simple-2P;60;60;0,2777460299317654;0,36211203130756164;0,4905778905196061;9,0
15;0,2;Simple-2P;60;30;0,1527207096642425;0,23063209533095314;0,3394791575920026;8,0
15;0,2;Simple-2P;60;1;0,742535413353931;0,8156677046194446;0,881664981183635;8,0
15;0,2;Simple-2P-Nois025;5;5;0,8421998623873712;0,8929419808586362;0,9447194253938692;1,0
15;0,2;Simple-2P-Nois025;5;2;0,9232152656633812;0,9352647779461887;0,9532186165797184;9,0
15;0,2;Simple-2P-Nois025;5;1;0,927080815399592;0,940490229824006;0,9498879317850532;8,0
15;0,2;Simple-2P-Nois025;10;10;0,7478779943999874;0,8457330869835975;0,9031905165391646;5,0
15;0,2;Simple-2P-Nois025;10;5;0,7324161622592169;0,8793971105202841;0,9195303095136688;5,0
