unidades capa1;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;0,3;Simple-1-1P;5;5;0,0042975488399727;0,33974324706762477;0,5189842086995448;1,0
25;0,3;Simple-1-1P;5;2;0,2109175562603718;0,36680675190157347;0,6018678409411684;8,0
25;0,3;Simple-1-1P;5;1;0,2135720909378855;0,33176844885973045;0,4550559145081364;5,0
25;0,3;Simple-1-1P;10;10;0,1986858773558182;0,3652693110220274;0,6062911287544327;9,0
25;0,3;Simple-1-1P;10;5;0,1370734987154861;0,3618755694623273;0,5005350456319533;4,0
25;0,3;Simple-1-1P;10;1;0,1225710825881381;0,26801029227862305;0,4594257148663298;1,0
25;0,3;Simple-1-1P;20;20;0,3476767476825577;0,48843747815897015;0,6897489428726739;2,0
25;0,3;Simple-1-1P;20;10;0,2786588750145228;0,386118011014569;0,4910458949949913;2,0
25;0,3;Simple-1-1P;20;1;0,1060737716855966;0,18198026869203995;0,2965895480221974;3,0
25;0,3;Simple-1-1P;40;40;0,5139561687500467;0,6312738488319974;0,74376843799781;7,0
25;0,3;Simple-1-1P;40;20;0,2676154650525236;0,4199183526774345;0,5854853791521152;3,0
25;0,3;Simple-1-1P;40;1;0,0949898878706744;0,20155242707825857;0,2795057365960911;2,0
25;0,3;Simple-1-1P;60;60;0,253628636750894;0,37482673614262285;0,5527707983925666;3,0
25;0,3;Simple-1-1P;60;30;0,1770283348479314;0,27361058818396716;0,4411494016915296;6,0
25;0,3;Simple-1-1P;60;1;0,10364278510347;0,16380700630093156;0,2187735831596638;8,0
25;0,3;Simple-1-1P-Nois025;5;5;0,030429608675286;0,3306281203048985;0,6222813210704556;0,0
25;0,3;Simple-1-1P-Nois025;5;2;0,1216717031035294;0,3312335206396296;0,5050463852218897;8,0
25;0,3;Simple-1-1P-Nois025;5;1;0,1743080564363625;0,3112317069767842;0,4464553468582339;5,0
25;0,3;Simple-1-1P-Nois025;10;10;0,1986858773558182;0,3734471899749262;0,5703834949701234;9,0
25;0,3;Simple-1-1P-Nois025;10;5;0,0458349248514105;0,20033319932740282;0,4130341757030801;3,0
25;0,3;Simple-1-1P-Nois025;10;1;0,1940452151054086;0,29186968113858625;0,4762456196822136;0,0
25;0,3;Simple-1-1P-Nois025;20;20;0,1990372988626388;0,34736608453983947;0,4981167541368988;6,0
25;0,3;Simple-1-1P-Nois025;20;10;0,0483401194945765;0,3067783854093081;0,4224877781450833;4,0
25;0,3;Simple-1-1P-Nois025;20;1;0,0742399549478012;0,18816268711672385;0,3406935177471186;4,0
25;0,3;Simple-1-1P-Nois025;40;40;0,4264014327112208;0,49605940781774543;0,5940885257860046;5,0
25;0,3;Simple-1-1P-Nois025;40;20;0,2676154650525236;0,3290008502983848;0,3851644432598216;0,0
25;0,3;Simple-1-1P-Nois025;40;1;0,1216904859489647;0,14669574685504447;0,2036609942065605;3,0
25;0,3;Simple-1-1P-Nois025;60;60;0,253628636750894;0,37118896860195083;0,5091750772173156;9,0
25;0,3;Simple-1-1P-Nois025;60;30;0,1770283348479314;0,23946230292086407;0,3685138655950444;4,0
25;0,3;Simple-1-1P-Nois025;60;1;0,0762918868284148;0,12439733042891785;0,185984904888168;4,0
