unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;15;0,2;Simple-1-1P;5;5;0,1949251770158374;0,3487866418239242;0,4376973239219324;1,0
25;15;0,2;Simple-1-1P;5;2;0,172141573136774;0,2780103426018436;0,4234299579540036;0,0
25;15;0,2;Simple-1-1P;5;1;0,1949230296005879;0,29851217113796336;0,4103334986849568;3,0
25;15;0,2;Simple-1-1P;10;10;0,2815739467138796;0,4082837968550468;0,7930860654723274;5,0
25;15;0,2;Simple-1-1P;10;5;0,1940538682059452;0,2524030962401528;0,3375263702778072;7,0
25;15;0,2;Simple-1-1P;10;1;0,1225710825881381;0,2407062175739406;0,3805010820567107;0,0
25;15;0,2;Simple-1-1P;20;20;0,4031892562490719;0,5603463396287636;0,6897489428726739;5,0
25;15;0,2;Simple-1-1P;20;10;0,3122122623853368;0,3806991310966528;0,4910458949949913;2,0
25;15;0,2;Simple-1-1P;20;1;0,1213601917241865;0,17591434544539725;0,2400566250045571;6,0
25;15;0,2;Simple-1-1P;40;40;0,5547001962252291;0,6611232608426526;0,8164965809277261;5,0
25;15;0,2;Simple-1-1P;40;20;0,3851644432598216;0,4446385962321247;0,5447047794019222;5,0
25;15;0,2;Simple-1-1P;40;1;0,1216904859489647;0,15810861486252914;0,2279704803801585;2,0
25;15;0,2;Simple-1-1P;60;60;0,3148000938676784;0,40269180893090395;0,5091750772173156;0,0
25;15;0,2;Simple-1-1P;60;30;0,0983024427487554;0,2833086959861257;0,4178554470186724;5,0
25;15;0,2;Simple-1-1P;60;1;0,0936692804717697;0,14284002689589356;0,1922070384879604;1,0
25;15;0,2;Simple-1-1P-Nois025;5;5;0,0477243413852396;0,2972266286975629;0,6831300510639732;7,0
25;15;0,2;Simple-1-1P-Nois025;5;2;0,1216717031035294;0,25748497927050396;0,4234299579540036;2,0
25;15;0,2;Simple-1-1P-Nois025;5;1;0,087099494458612;0,23878689993934957;0,4376932717880091;2,0
25;15;0,2;Simple-1-1P-Nois025;10;10;0,0515262013747047;0,30150401134824845;0,4480402387109475;1,0
25;15;0,2;Simple-1-1P-Nois025;10;5;0,1940538682059452;0,2870890616114866;0,4146981098256822;2,0
25;15;0,2;Simple-1-1P-Nois025;10;1;0,0612471778841788;0,18271998729582906;0,3487287220917164;3,0
25;15;0,2;Simple-1-1P-Nois025;20;20;0,0486844825459517;0,34749161206266727;0,5802884574739972;6,0
25;15;0,2;Simple-1-1P-Nois025;20;10;0,1937881516598458;0,29476760098735866;0,4224877781450833;4,0
25;15;0,2;Simple-1-1P-Nois025;20;1;0,0857428331628361;0,15126283476152855;0,2648226009097869;9,0
25;15;0,2;Simple-1-1P-Nois025;40;40;0,3244428422615251;0,4737999179075321;0,5547001962252291;3,0
25;15;0,2;Simple-1-1P-Nois025;40;20;0,2307692307692307;0,3334944349913318;0,4578184593349567;1,0
25;15;0,2;Simple-1-1P-Nois025;40;1;0,0495237226379201;0,15029760379552204;0,224167207778903;6,0
25;15;0,2;Simple-1-1P-Nois025;60;60;0,1770283348479314;0,3243806195203075;0,4930493313022979;5,0
25;15;0,2;Simple-1-1P-Nois025;60;30;0,1770283348479314;0,2704635441238184;0,3936109468304822;6,0
25;15;0,2;Simple-1-1P-Nois025;60;1;0,08102319367361;0,11705016384718143;0,1634863728930989;6,0
25;15;0,2;Simple-1-1P-Nois05;5;5;0,0559147532170999;0,23483560572403647;0,4089244691339827;7,0
25;15;0,2;Simple-1-1P-Nois05;5;2;0,1216717031035294;0,21023259665839072;0,48976000741676;4,0
25;15;0,2;Simple-1-1P-Nois05;5;1;0,0051973539632321;0,18376196833601938;0,3603245108906895;9,0
25;15;0,2;Simple-1-1P-Nois05;10;10;0,0277410713356883;0,2905486948014459;0,4480402387109475;6,0
25;15;0,2;Simple-1-1P-Nois05;10;5;0,0228461914895684;0,18517315215703306;0,3649553246718596;9,0
25;15;0,2;Simple-1-1P-Nois05;10;1;0,0866346629835464;0,1819568257808549;0,3123994469131974;5,0
25;15;0,2;Simple-1-1P-Nois05;20;20;0,0;0,31208028473881005;0,4981167541368988;6,0
25;15;0,2;Simple-1-1P-Nois05;20;10;0,0503486118203254;0,27125032718274616;0,3974659104374912;0,0
25;15;0,2;Simple-1-1P-Nois05;20;1;0,1050570245199964;0,14782815143493594;0,2001229751525747;7,0
25;15;0,2;Simple-1-1P-Nois05;40;40;0,1841149235796646;0,3909467612664408;0,4714045207910317;1,0
25;15;0,2;Simple-1-1P-Nois05;40;20;0,132110314132523;0,2991894659461814;0,5023310149673528;6,0
25;15;0,2;Simple-1-1P-Nois05;40;1;0,0700811364243675;0,10709133373059206;0,178974796400299;7,0
25;15;0,2;Simple-1-1P-Nois05;60;60;0,1770283348479314;0,3133890980998785;0,558389928096229;3,0
25;15;0,2;Simple-1-1P-Nois05;60;30;0,1740776559556978;0,26870631632901665;0,4218636601912039;4,0
25;15;0,2;Simple-1-1P-Nois05;60;1;0,0676889984071968;0,10193540055191705;0,1403600232944946;6,0
25;15;0,2;Simple-1-1P-Nois10;5;5;0,0030845251220537;0,23637166627502185;0,3453479984351071;1,0
25;15;0,2;Simple-1-1P-Nois10;5;2;0,0;0,18014072875596177;0,3662389689366195;2,0
25;15;0,2;Simple-1-1P-Nois10;5;1;0,0162929222900073;0,1515174245660129;0,3264487613382876;2,0
25;15;0,2;Simple-1-1P-Nois10;10;10;0,1986858773558182;0,26444777057681873;0,3489345637887103;6,0
25;15;0,2;Simple-1-1P-Nois10;10;5;0,0;0,17909667884633412;0,3905667329424716;4,0
25;15;0,2;Simple-1-1P-Nois10;10;1;0,1061275082940396;0,15375461710492416;0,2808316475986555;9,0
25;15;0,2;Simple-1-1P-Nois10;20;20;0,1217249306518282;0,3377672326956639;0,5377381565646466;0,0
25;15;0,2;Simple-1-1P-Nois10;20;10;0,0766919717472963;0,217241585670219;0,3709966130235391;6,0
25;15;0,2;Simple-1-1P-Nois10;20;1;0,0742399549478012;0,13815763478816576;0,2257909431083551;7,0
25;15;0,2;Simple-1-1P-Nois10;40;40;0,1841149235796646;0,38640405798305677;0,5188745216627708;7,0
25;15;0,2;Simple-1-1P-Nois10;40;20;0,1245441196261788;0,21311705719222238;0,3701501546820385;6,0
25;15;0,2;Simple-1-1P-Nois10;40;1;0,0639616300026468;0,10293141294920001;0,1437298846948042;1,0
25;15;0,2;Simple-1-1P-Nois10;60;60;0,006017004011932;0,265872914706513;0,3892494720807615;2,0
25;15;0,2;Simple-1-1P-Nois10;60;30;0,0160934849861755;0,17825665933311813;0,2854496128592251;3,0
25;15;0,2;Simple-1-1P-Nois10;60;1;0,0526333635942311;0,08806635887824515;0,1248646655955198;3,0
25;15;0,2;Simple-1-1P-Nois20;5;5;0,0028270139709608;0,17313779663535775;0,2759540317064832;4,0
25;15;0,2;Simple-1-1P-Nois20;5;2;0,081221728170168;0,2941524463749421;0,5626071635674867;0,0
25;15;0,2;Simple-1-1P-Nois20;5;1;0,0155219158602503;0,17051014159527494;0,3383239383317742;1,0
25;15;0,2;Simple-1-1P-Nois20;10;10;0,0652372446795309;0,1912242493187701;0,2815739467138796;0,0
25;15;0,2;Simple-1-1P-Nois20;10;5;0,0286887655274623;0,145433031572057;0,2462623665730116;2,0
25;15;0,2;Simple-1-1P-Nois20;10;1;0,0275072534626812;0,11173365911159272;0,2256981629229246;5,0
