unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;5;0,2;Simple-1-1P;5;5;0,9350057795865552;0,9743494508319227;0,9787209698591858;0,0
25;5;0,2;Simple-1-1P;5;2;0,9833857084936692;0,9842191717481008;0,9917203410379845;8,0
25;5;0,2;Simple-1-1P;5;1;0,9787204979338638;0,9791490210477061;0,9830057290722866;4,0
25;5;0,2;Simple-1-1P;10;10;0,8746327078711531;0,96073673993224;0,9757735519733838;0,0
25;5;0,2;Simple-1-1P;10;5;0,9410544745270912;0,9707573771627228;0,9766867720468236;0,0
25;5;0,2;Simple-1-1P;10;1;0,9601584320097318;0,9724432928778268;0,9766846863905292;0,0
25;5;0,2;Simple-1-1P;20;20;0,8516306272526402;0,9208278958739833;0,9417249213225096;1,0
25;5;0,2;Simple-1-1P;20;10;0,9283569624779344;0,9528691015101958;0,9715480298902084;5,0
25;5;0,2;Simple-1-1P;20;1;0,9329986529928574;0,9498688898082861;0,9652773116370232;9,0
25;5;0,2;Simple-1-1P;40;40;0,7801894976054939;0,8932076892697214;1,0;4,0
25;5;0,2;Simple-1-1P;40;20;0,9247721989276616;0,9603634990532562;0,981058891118368;2,0
25;5;0,2;Simple-1-1P;40;1;0,8988962544460773;0,9321766020790779;0,9564504084570694;8,0
25;5;0,2;Simple-1-1P;60;60;0,6276459144608478;0,7844299136857996;0,8563488385776753;0,0
25;5;0,2;Simple-1-1P;60;30;0,6170025669131479;0,7270929659225989;0,8793421577437803;0,0
25;5;0,2;Simple-1-1P;60;1;0,0;0,4270378647608054;0,8974754130087315;7,0
25;5;0,2;Simple-1-1P-Nois025;5;5;0,9350057795865552;0,96366895680243;0,9787209698591858;3,0
25;5;0,2;Simple-1-1P-Nois025;5;2;0,9408350565718416;0,9648126113948334;0,9750918980292992;8,0
25;5;0,2;Simple-1-1P-Nois025;5;1;0,961426885268018;0,9701010801632567;0,9744351440760866;0,0
25;5;0,2;Simple-1-1P-Nois025;10;10;0,7644969325188323;0,8840595330046097;0,9511599138187792;2,0
25;5;0,2;Simple-1-1P-Nois025;10;5;0,8798326442386865;0,9397466136136803;0,9649012813540154;2,0
25;5;0,2;Simple-1-1P-Nois025;10;1;0,9314015052102615;0,95057357625527;0,9696234633498936;7,0
