;MLP 2 capas;MLP 2 capas;MLP 2 capas;MLP 3 capas;MLP 3 capas;MLP 3 capas
;Un punto;Mitad de ventana;Ventana;Un punto;Mitad de ventana;Ventana
1.1% anomalías, Senoidal Simple ;0,9494989139992918;0,8785165483468452;0,8543502209069113;0,937693955242758;0,9313732905876504;0,9220373762841999
1.1% anomalías, Senoidal Simple (ruido 2.5%);0,9003041520008348;0,7869692428881837;0,7450776839269029;0,8899430337183645;0,857524188635334;0,8276676281165949
1.1% anomalías, Senoidal Simple (ruido 5%);0,8206103061532808;0,7000304542660232;0,6726930532788796;0,8137863090475741;0,7825554867987502;0,7274298809570265
1.1% anomalías, Senoidal Simple (ruido 10%);0,7454218928107333;0,6208041334720352;0,5344240743916644;0,7583665460339083;0,6827000262568557;0,619552643968418
1.1% anomalías, Senoidal Simple (ruido 20%);0,5974437085200189;0,4516186259817645;0,39193487598038107;0,61927554490239;0,49355086896260486;0,4313845050650881
2% anomalías, Senoidal Simple ;0,9424485017657642;0,7537946624107918;0,7079661970153055;0,9264567655649694;0,9051008274698708;0,8352340547448449
2% anomalías, Senoidal Simple (ruido 2.5%);0,8816244017750751;0,6814637151238436;0,661900320933879;0,880541226425563;0,8435348653079534;0,7734067540940226
2% anomalías, Senoidal Simple (ruido 5%);0,8352684419680008;0,6424905942772429;0,6114620773110407;0,845064702464253;0,7704657233164923;0,717253351066163
2% anomalías, Senoidal Simple (ruido 10%);0,7116297940460519;0,5609036985556864;0,5203092470657795;0,7322564408599187;0,6703081836527911;0,6091429565121762
2% anomalías, Senoidal Simple (ruido 20%);0,49410152588325945;0,412491610781875;0,3675830028048634;0,5405455616199735;0,458481212738868;0,4264951399463091
1.1% anomalías, Senoidal Combinada ;0,9637676097690203;0,8005734561025362;0,7126906766949362;0,9485332852680379;0,8817017423075659;0,8131544849354738
1.1% anomalías, Senoidal Combinada (ruido 2.5%);0,9090118602560007;0,7380037537760047;0,6642722561035523;0,9042013279952952;0,805713422309439;0,7482325855771578
1.1% anomalías, Senoidal Combinada (ruido 5%);0,8264602425162183;0,6681136315813605;0,6041038618249002;0,8401208278330845;0,7417594498467426;0,6943256641845506
1.1% anomalías, Senoidal Combinada (ruido 10%);0,7323190892013263;0,5925820251162415;0,5260987626781124;0,7524577875837576;0,6501392374844284;0,5811127342622675
1.1% anomalías, Senoidal Combinada (ruido 20%);0,5538149754272175;0,4349506898319117;0,40233421313917433;0,6022945545600956;0,4922591470814341;0,4306627361359003
2% anomalías, Senoidal Combinada ;0,9260402473143563;0,7114325293822079;0,6356933278804001;0,9103811290961479;0,8603763518163426;0,796553503498242
2% anomalías, Senoidal Combinada (ruido 2.5%);0,8939741986614115;0,6769590113124402;0,5903060028430488;0,8768871190602283;0,7997662284396754;0,7321450402933487
2% anomalías, Senoidal Combinada (ruido 5%);0,8496614401116608;0,6332401441976708;0,5642878237804683;0,8478595506498598;0,727839835034585;0,6685912980223362
2% anomalías, Senoidal Combinada (ruido 10%);0,6822900331492852;0,5388160161168664;0,4747443905583675;0,7038628304929813;0,5944839691485735;0,5604752981429936
2% anomalías, Senoidal Combinada (ruido 20%);0,49339313796094164;0,40080463993436344;0,3776845889019981;0,5443912877124353;0,4521116605884384;0,46081931454195446
