capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
20;10;GB1;20;20;0,1783421498898663;0,21211276741185775;0,2656566057279489;5,0
20;10;GB1;20;10;0,1297876464512851;0,1652951625377529;0,2010075630518424;4,0
20;10;GB1;20;1;0,1130217687202081;0,1511580613280534;0,1784379382309132;5,0
20;10;GB1;40;40;0,1574074074074074;0,20285736448801464;0,2385234434323835;1,0
20;10;GB1;40;20;0,1279378001044495;0,1550364104600997;0,1835629305846449;5,0
20;10;GB1;40;1;0,111260931428004;0,1279953099119401;0,1523613397417049;8,0
20;10;GB1;60;60;0,186693296595327;0,19385330443836396;0,2074857897235847;6,0
20;10;GB1;60;30;0,1279496557947282;0,15196598189499672;0,1687016709980133;7,0
20;10;GB1;60;1;0,1065401913972169;0,1233354224502092;0,1349753780898139;0,0
20;10;GB1;90;90;0,1192733017377567;0,13655802438893688;0,1858205980558569;3,0
20;10;GB1;90;45;0,1341854033383513;0,15255433215515496;0,1769346789064848;3,0
20;10;GB1;90;1;0,1365115367302199;0,14554192709666675;0,1575852144922611;3,0
20;10;GB2;20;20;0,3042788311868387;0,3486183523510737;0,4661292733074976;4,0
20;10;GB2;20;10;0,2841086485782221;0,3377802711737711;0,4456996905902624;6,0
20;10;GB2;20;1;0,2683885951147703;0,2999598982953503;0,3341039393274452;4,0
20;10;GB2;40;40;0,3605104389394542;0,3980953294631894;0,4380858271151805;0,0
20;10;GB2;40;20;0,2595269049887466;0,327501930863458;0,4475898796182732;5,0
20;10;GB2;40;1;0,2652951547172185;0,3067792050022011;0,3437312281411539;0,0
20;10;GB2;60;60;0,298529301520453;0,3320343867958303;0,3889690869259211;4,0
20;10;GB2;60;30;0,287853870382605;0,302499859780234;0,3505575057664057;0,0
20;10;GB2;60;1;0,2886054750666111;0,31443234167060086;0,3419667697029535;7,0
20;10;GB2;90;90;0,2989107451955946;0,3742218388048304;0,4064980217802172;0,0
20;10;GB2;90;45;0,2721061472089651;0,3021559594196902;0,3539874649011251;0,0
20;10;GB2;90;1;0,2555805465846313;0,2900145458190921;0,3136730194377117;1,0
20;10;GB3;20;20;0,1078610540146001;0,12820600378478067;0,1407778366932992;3,0
20;10;GB3;20;10;0,1220877048900782;0,13829713159584808;0,1735367608440118;8,0
20;10;GB3;20;1;0,1179522966337508;0,13365280443021893;0,1577159281604687;8,0
20;10;GB3;40;40;0,1846372364689991;0,1851278977364928;0,1895438491439363;9,0
