capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;15;GB1;20;20;0,4058447881701383;0,4640779188119849;0,5460329706123277;4,0
25;15;GB1;20;10;0,3804786014909874;0,4367236525065447;0,4881612245544744;6,0
25;15;GB1;20;1;0,3674179834840613;0,40957507050207126;0,4764449326685698;4,0
25;15;GB1;40;40;0,4953199730753477;0,5754721454966438;0,592156525463792;0,0
25;15;GB1;40;20;0,5312350722267765;0,5865832446048895;0,7118059752935942;7,0
25;15;GB1;40;1;0,5634488972601108;0,5954029994305143;0,6346038559423345;4,0
25;15;GB1;60;60;0,6004852880323787;0,6297415008855942;0,6913195662039432;4,0
25;15;GB1;60;30;0,6601564071170363;0,6773520979611027;0,717475376597258;1,0
25;15;GB1;60;1;0,5807486330291228;0,6829679663778654;0,7315965812719273;5,0
25;15;GB1;90;90;0,640899289667242;0,683625805724068;0,754871013427844;0,0
25;15;GB1;90;45;0,6884176835080159;0,7454688395202653;0,7611862376351108;2,0
25;15;GB1;90;1;0,7096916443945248;0,7605608086071737;0,8030954769883717;6,0
25;15;GB2;20;20;0,5009643271555179;0,5340766163961704;0,585875788774089;6,0
25;15;GB2;20;10;0,4290205655045799;0,4887448058839442;0,5406616048552142;0,0
25;15;GB2;20;1;0,4089424451329492;0,4301618464911824;0,4476552080598664;7,0
25;15;GB2;40;40;0,6087807775281011;0,6676150112323206;0,7052631578947368;5,0
25;15;GB2;40;20;0,6225910625649935;0,6509110568889911;0,7211961168845046;8,0
25;15;GB2;40;1;0,602327839421201;0,6171392362484461;0,6435622688311242;4,0
25;15;GB2;60;60;0,7382661986686605;0,7743860187433217;0,7876361627126132;4,0
25;15;GB2;60;30;0,7303358675587263;0,7606173954726719;0,7802701634596714;0,0
25;15;GB2;60;1;0,6990928812628296;0,7237787447963235;0,7445565314523983;6,0
25;15;GB2;90;90;0,7915534171844314;0,7958593997866543;0,7969358954372102;0,0
25;15;GB2;90;45;0,752089377125252;0,7718462842932279;0,7898484825149781;3,0
25;15;GB2;90;1;0,7074393672125412;0,7274725478581883;0,743318346545985;0,0
25;15;GB3;20;20;0,2818304959736327;0,3288492071613783;0,3688152169531489;2,0
25;15;GB3;20;10;0,2628547409997087;0,2874592366954597;0,322300585545648;3,0
25;15;GB3;20;1;0,2627212359986596;0,283677642876538;0,3203235756779164;7,0
25;15;GB3;40;40;0,3957336397583147;0,4285866497122246;0,4501446822229556;8,0
25;15;GB3;40;20;0,3870746270244495;0,4137506957636713;0,4527874663321452;7,0
25;15;GB3;40;1;0,309500653640997;0,348276297344555;0,4090656042574896;9,0
25;15;GB3;60;60;0,4228337171356144;0,4544780137651731;0,5074534779556362;9,0
25;15;GB3;60;30;0,3836999975507065;0,41352334650802325;0,4235975479615319;1,0
25;15;GB3;60;1;0,323090982780962;0,3610111100821698;0,4089203277742453;9,0
25;15;GB3;90;90;0,4190503563376118;0,45296125447484803;0,4943511386601763;2,0
25;15;GB3;90;45;0,4262320128915228;0,45862796433110764;0,4914716067014498;0,0
25;15;GB3;90;1;0,3375771908101896;0,3975723767090036;0,4538076047571064;9,0
25;15;GB5;20;20;0,3750015865975728;0,4042796958961067;0,4624808714346726;7,0
25;15;GB5;20;10;0,3502260306561017;0,37374471864763864;0,4042358002695607;0,0
25;15;GB5;20;1;0,3149769599163899;0,3446960584249021;0,3744548170514608;7,0
25;15;GB5;40;40;0,5306829344809485;0,5529965660093911;0,5989343982306896;3,0
25;15;GB5;40;20;0,5265197609229844;0,533146466470447;0,5488791038222144;2,0
25;15;GB5;40;1;0,4979604755733265;0,5105279261880439;0,5215403379733529;1,0
25;15;GB5;60;60;0,5785047248673268;0,5920889049931096;0,6094304290042455;1,0
25;15;GB5;60;30;0,5620888130840518;0,5926564105361287;0,6104229372129365;5,0
25;15;GB5;60;1;0,5567204864959108;0,5673039580738463;0,5870309535212841;3,0
25;15;GB5;90;90;0,5708786167806967;0,5992985449252634;0,6259742037605418;4,0
25;15;GB5;90;45;0,519935803281643;0,5503808096302738;0,5763689239076127;6,0
25;15;GB5;90;1;0,5516707133705352;0,5601264660059637;0,5714679120011021;5,0
25;15;GB7;20;20;0,6012325878048523;0,6464307252331449;0,692949231753188;9,0
25;15;GB7;20;10;0,5978108032042064;0,6570304317323518;0,7033577746679448;0,0
25;15;GB7;20;1;0,5656335420904999;0,6080460347855258;0,633467676030725;7,0
25;15;GB7;40;40;0,7868804290512842;0,8108976655619182;0,8534844061660901;3,0
25;15;GB7;40;20;0,7655497875133465;0,7891842804601685;0,8201534181875334;9,0
