unidades capa1;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;0,3;GB1;10;10;0,0028969993177085;0,07663241417741018;0,1726787169070543;0,0
25;0,3;GB1;10;5;0,0092637136022485;0,09629799777248862;0,2148478990234396;3,0
25;0,3;GB1;10;1;0,0083779307196291;0,07770150100218162;0,25161623104988;6,0
25;0,3;GB1;20;20;0,0181577308195936;0,06837806180956073;0,1692387371120294;5,0
25;0,3;GB1;20;10;0,0071518024903108;0,10952009665930425;0,3304419306306206;0,0
25;0,3;GB1;20;1;0,0035121183456196;0,09212310018609943;0,2931542246611078;6,0
25;0,3;GB1;40;40;0,0372532774765631;0,13198815156089239;0,3733829161402601;5,0
25;0,3;GB1;40;20;0,025559646594111;0,10681628555188168;0,18641092980036;0,0
25;0,3;GB1;40;1;0,0;0,04569638552927501;0,1049949673809038;1,0
25;0,3;GB1;60;60;0,0156194276555434;0,13672427888944255;0,3300858115036125;8,0
25;0,3;GB1;60;30;0,0097739748280594;0,08144940064798577;0,2411422864941959;5,0
25;0,3;GB1;60;1;0,005496815279616;0,04570815614660216;0,1466036533197353;1,0
25;0,3;GB1;90;90;0,05747685793103;0,1465085378441474;0,3171611897118982;8,0
25;0,3;GB1;90;45;0,0243232902167523;0,13811827162755203;0,240680647864038;9,0
25;0,3;GB1;90;1;0,0;0,04876443004162158;0,1364702258313566;2,0
25;0,3;GB2;10;10;0,0271403098589989;0,16723972620307379;0,3786149118568441;2,0
25;0,3;GB2;10;5;0,0;0,13767204295694174;0,309089261265598;8,0
25;0,3;GB2;10;1;0,002728257297985;0,12065827306356099;0,3312282737009993;7,0
25;0,3;GB2;20;20;0,012624358982743;0,14673031236072898;0,3237980891224764;6,0
25;0,3;GB2;20;10;0,0523070461121033;0,1597245201917352;0,2896556029367095;8,0
25;0,3;GB2;20;1;0,009510330622989;0,1496145825038905;0,2309764937010738;2,0
25;0,3;GB2;40;40;0,037962419491495;0,17250883745218806;0,2762339966107252;1,0
25;0,3;GB2;40;20;0,0071042690479691;0,1546554382799394;0,2686512837528376;1,0
25;0,3;GB2;40;1;0,0;0,10774352079119567;0,2906597091867516;7,0
25;0,3;GB2;60;60;0,1010292037454786;0,21878564009948423;0,374363316150228;9,0
25;0,3;GB2;60;30;0,0052982482043094;0,20944359151922062;0,4192823460290906;0,0
25;0,3;GB2;60;1;0,0248111754855537;0,0709284884098624;0,1420959412399124;5,0
25;0,3;GB2;90;90;0,0095079090098477;0,21921352600677757;0,343134470161927;0,0
25;0,3;GB2;90;45;0,0202341010807347;0,12848935057585278;0,288842186445044;7,0
