;serie;Capa 1;Dropout;MCC
promedio;Grillo-Ballena, 1%;25;0,3;0,5798941832757974
promedio;Grillo-Ballena, 2%;25;0,3;0,6357619427036326
promedio;Grillo-Ballena, 3%;25;0,3;0,430049856317677
promedio;Grillo-Ballena, 5%;25;0,3;0,5569860195289602
promedio;Grillo-Ballena, 7%;25;0,2;0,8617536084275397
promedio;Grillo-Ballena, 10%;25;0,3;0,5750147543501787
mejor caso;Grillo-Ballena, 1%;25;0,3;0,8268012882151765
mejor caso;Grillo-Ballena, 2%;25;0,3;0,7630299982795893
mejor caso;Grillo-Ballena, 3%;20;0,2;0,4942457544636592
mejor caso;Grillo-Ballena, 5%;25;0,3;0,6304934241751776
mejor caso;Grillo-Ballena, 7%;25;0,2;0,9605884923825212
mejor caso;Grillo-Ballena, 10%;25;0,3;0,6468898600175716
general;general;25;0,3;0,6063059126397667
