unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
20;10;0,3;GB1;10;10;0,2992380423978844;0,44411589329667933;0,5267936353321332;7,0
20;10;0,3;GB1;10;5;0,5057763983981064;0,5950091273336331;0,6536869930136018;3,0
20;10;0,3;GB1;10;1;0,5886442581568262;0,652143209203609;0,7845716662648164;5,0
20;10;0,3;GB1;20;20;0,3705058741068615;0,41944181201923686;0,5047453920554695;8,0
20;10;0,3;GB1;20;10;0,3543781290840485;0,49568355087053606;0,5914535398905005;7,0
20;10;0,3;GB1;20;1;0,6137489341162072;0,7242347188149074;0,7912385707373759;1,0
20;10;0,3;GB1;40;40;0,3484707125157295;0,4816271771177072;0,5988840903423737;6,0
20;10;0,3;GB1;40;20;0,3759736400014366;0,490811439672871;0,6213729073975363;9,0
20;10;0,3;GB1;40;1;0,6144467379999589;0,6997348776315407;0,7810197107913348;2,0
20;10;0,3;GB1;60;60;0,1193778860243404;0,35419864439231674;0,5555284741070701;2,0
20;10;0,3;GB1;60;30;0,3045876686944281;0,4718394473514918;0,6206931111527654;7,0
20;10;0,3;GB1;60;1;0,5883196457918398;0,6748724044563282;0,7602313191709533;8,0
20;10;0,3;GB1;90;90;0,1537720682724068;0,3080449864054011;0,398904986853954;0,0
20;10;0,3;GB1;90;45;0,2132464430513331;0,4267602304345381;0,6455818187230747;9,0
20;10;0,3;GB1;90;1;0,7940072273830583;0,8110328836164514;0,8354487563905701;8,0
20;10;0,3;GB2;10;10;0,5847885286483178;0,673868077260165;0,7053592567764219;5,0
20;10;0,3;GB2;10;5;0,6206707048539664;0,6804536630908944;0,7191708774512545;3,0
20;10;0,3;GB2;10;1;0,6797430250225012;0,710020346268615;0,7396604318547281;8,0
20;10;0,3;GB2;20;20;0,4878178166483558;0,5915018512069371;0,6507313962783788;6,0
20;10;0,3;GB2;20;10;0,5061198361044356;0,6066288770786444;0,7247316305664113;6,0
20;10;0,3;GB2;20;1;0,6511451699102411;0,7082663842206269;0,752204356083366;3,0
20;10;0,3;GB2;40;40;0,3837360803338857;0,5133880325489041;0,658980836177279;9,0
20;10;0,3;GB2;40;20;0,2727669021341605;0,4946601937104379;0,5991510564699979;8,0
20;10;0,3;GB2;40;1;0,6768263971160287;0,722665420528051;0,7597940837130026;3,0
20;10;0,3;GB2;60;60;0,3328500048381209;0,41599882640092883;0,5241120251163713;5,0
20;10;0,3;GB2;60;30;0,3823159472649661;0,5001744511841182;0,5933638341401564;5,0
20;10;0,3;GB2;60;1;0,5226776866925725;0,671452727786124;0,7479640218121026;5,0
20;10;0,3;GB2;90;90;0,2336321804899024;0,35702491901373606;0,414971953002773;3,0
20;10;0,3;GB2;90;45;0,4597504014243214;0,5330513106144903;0,6258507431108802;5,0
20;10;0,3;GB2;90;1;0,7010549964153724;0,7701272894056367;0,788287242639951;8,0
20;10;0,3;GB3;10;10;0,4441623030508073;0,469572857719262;0,5103576246886842;6,0
20;10;0,3;GB3;10;5;0,4280691337995684;0,4543464713736386;0,4760915386587299;7,0
20;10;0,3;GB3;10;1;0,4331138055013059;0,48096900225652117;0,5271823165090062;5,0
20;10;0,3;GB3;20;20;0,4204545454545454;0,48016304721453124;0,5284433846462827;0,0
20;10;0,3;GB3;20;10;0,4756436487369238;0,49619617600558125;0,5214376797992896;0,0
20;10;0,3;GB3;20;1;0,4732303137873246;0,49820421505310203;0,5197780003597793;1,0
20;10;0,3;GB3;40;40;0,3576408488192953;0,4470790459599658;0,53125;3,0
20;10;0,3;GB3;40;20;0,4046757913204926;0,46762966631796854;0,5333311612268888;1,0
20;10;0,3;GB3;40;1;0,488762292743635;0,5097973634675641;0,5343748207266735;1,0
20;10;0,3;GB3;60;60;0,3079619253329;0,3886024796952707;0,4914718754231929;9,0
20;10;0,3;GB3;60;30;0,3204861453675371;0,36630963782015763;0,4279131819518348;3,0
20;10;0,3;GB3;60;1;0,4084696634858678;0,5053220608108243;0,5505543356693469;8,0
20;10;0,3;GB3;90;90;0,2161616924125984;0,33358075376138674;0,4084746461775154;5,0
20;10;0,3;GB3;90;45;0,2207495616759996;0,35074412255712467;0,4209759355585223;8,0
20;10;0,3;GB3;90;1;0,5174982838032132;0,5257188273439671;0,5349819018305979;6,0
20;10;0,3;GB5;10;10;0,5427380697481021;0,587528118070858;0,6244943795297438;7,0
20;10;0,3;GB5;10;5;0,6167376782162054;0,6292394220481679;0,6390978756206436;0,0
20;10;0,3;GB5;10;1;0,6070901852223052;0,6206977988708561;0,6394967073665876;7,0
20;10;0,3;GB5;20;20;0,5138250754961826;0,5846194148873369;0,6205749842490343;4,0
20;10;0,3;GB5;20;10;0,5880423457209343;0,6241799085176378;0,6489058009549221;8,0
20;10;0,3;GB5;20;1;0,6076531399991385;0,6298549598250643;0,6520305703799385;0,0
20;10;0,3;GB5;40;40;0,3827755301596702;0,4715417979347925;0,5422886480827681;1,0
20;10;0,3;GB5;40;20;0,4682527633551568;0,5780457884428034;0,6233764791830154;5,0
20;10;0,3;GB5;40;1;0,617119504943265;0,6370102859464808;0,6525676464726834;1,0
20;10;0,3;GB5;60;60;0,5172727329731166;0,5571559482165958;0,6152986153117196;4,0
20;10;0,3;GB5;60;30;0,5325516061474886;0,5900012128159935;0,6187012907370132;3,0
20;10;0,3;GB5;60;1;0,6358812546416022;0,6448062021738564;0,6559767994849267;7,0
20;10;0,3;GB5;90;90;0,2903644934625047;0,3863510622673033;0,5154543128966361;9,0
20;10;0,3;GB5;90;45;0,3780239073995714;0,44230476327065904;0,5083933676771429;9,0
20;10;0,3;GB5;90;1;0,6215257384644286;0,6377886844904289;0,650051761246058;0,0
20;10;0,3;GB7;10;10;0,8162573665494444;0,8534178953426105;0,9048541777701838;7,0
