capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
20;15;GB1;20;20;0,1784932074559039;0,17849320745590394;0,1784932074559039;0,0
20;15;GB1;20;10;0,1427748281612523;0,14277482816125228;0,1427748281612523;0,0
20;15;GB1;20;1;0,1384613901965934;0,1384613901965934;0,1384613901965934;0,0
20;15;GB1;40;40;0,1835629305846449;0,1835629305846449;0,1835629305846449;0,0
20;15;GB1;40;20;0,1557503653445472;0,1573603517300452;0,1584336759870439;0,0
20;15;GB1;40;1;0,1187304054962133;0,1191487508802325;0,1192533372262373;0,0
20;15;GB1;60;60;0,186693296595327;0,186693296595327;0,186693296595327;0,0
20;15;GB1;60;30;0,1442856817950408;0,1442856817950408;0,1442856817950408;0,0
20;15;GB1;60;1;0,1213640387168704;0,12288565487547035;0,123054723337537;0,0
20;15;GB1;90;90;0,1441342475140354;0,1474448454010891;0,1551695738042143;2,0
20;15;GB1;90;45;0,1528169235009215;0,15976712570166246;0,1656627383333783;0,0
20;15;GB1;90;1;0,1575852144922611;0,15820327780391324;0,1582719515052079;0,0
20;15;GB2;20;20;0,3042788311868387;0,3042788311868386;0,3042788311868387;0,0
20;15;GB2;20;10;0,3089819940901819;0,30982174729655826;0,3173795261539457;8,0
20;15;GB2;20;1;0,3204132426164713;0,3204132426164713;0,3204132426164713;0,0
20;15;GB2;40;40;0,3605104389394542;0,4148132106624626;0,4380858271151805;0,0
20;15;GB2;40;20;0,3354799613032947;0,3354799613032947;0,3354799613032947;0,0
20;15;GB2;40;1;0,3199627210429916;0,3221018866818263;0,3223395717528079;0,0
20;15;GB2;60;60;0,3328500048381209;0,3399160481633647;0,3505151131512305;2,0
20;15;GB2;60;30;0,287853870382605;0,28785387038260507;0,287853870382605;0,0
20;15;GB2;60;1;0,3270256072047776;0,32723905238332296;0,3291600589902313;9,0
20;15;GB2;90;90;0,4064980217802172;0,4064980217802172;0,4064980217802172;0,0
20;15;GB2;90;45;0,2767696110378895;0,2767696110378895;0,2767696110378895;0,0
