;serie;Capa Intermedia;Bottleneck;MCC
promedio;Grillo-Ballena, 1%;20;10;0,1536975033316983
promedio;Grillo-Ballena, 2%;25;5;0,3322624945791311
promedio;Grillo-Ballena, 3%;20;15;0,1413597011529257
promedio;Grillo-Ballena, 5%;15;10;0,3881733948177149
promedio;Grillo-Ballena, 7%;15;5;0,3709098219780574
promedio;Grillo-Ballena, 10%;25;10;0,2893775672308624
mejor caso;Grillo-Ballena, 1%;25;15;0,186693296595327
mejor caso;Grillo-Ballena, 2%;25;15;0,4380858271151805
mejor caso;Grillo-Ballena, 3%;25;15;0,2175101361683537
mejor caso;Grillo-Ballena, 5%;25;15;0,4214267860108692
mejor caso;Grillo-Ballena, 7%;25;15;0,4542567625794979
mejor caso;Grillo-Ballena, 10%;25;5;0,3317989978012826
general;general;25;15;0,2789688158041989
